epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,4820.49,1.45927,1.14825,1.14098,0.51895,0.42413,0.4347,0.26227,1.32818,1.00685,1.08519,0.00843851,0.00843851,0.00843851
54,4910.34,1.45474,1.13705,1.13439,0.51559,0.4238,0.43412,0.2639,1.32526,1.00222,1.08403,0.00838141,0.00838141,0.00838141
55,4999.99,1.456,1.13926,1.13741,0.52934,0.42152,0.43699,0.26569,1.32394,0.99744,1.08184,0.00832349,0.00832349,0.00832349
56,5089.73,1.44346,1.12536,1.13841,0.53762,0.42197,0.43891,0.26625,1.32052,0.99856,1.08022,0.00826477,0.00826477,0.00826477
57,5179.19,1.43906,1.12834,1.13631,0.5289,0.42876,0.44015,0.26743,1.31987,0.9949,1.07925,0.00820525,0.00820525,0.00820525
58,5269.28,1.45808,1.13576,1.13959,0.53454,0.43005,0.44355,0.26957,1.318,0.98884,1.0797,0.00814495,0.00814495,0.00814495
59,5358.83,1.44557,1.13095,1.13215,0.52763,0.42549,0.44348,0.26935,1.31429,0.98478,1.07799,0.00808389,0.00808389,0.00808389
60,5448.57,1.43558,1.10684,1.12749,0.52998,0.43031,0.44397,0.26942,1.3133,0.98548,1.07732,0.00802208,0.00802208,0.00802208
61,5538.19,1.43364,1.10903,1.13274,0.53628,0.42697,0.44328,0.26946,1.30973,0.98219,1.07653,0.00795954,0.00795954,0.00795954
62,5627.63,1.43719,1.1141,1.13035,0.53864,0.43562,0.44792,0.27181,1.31305,0.97973,1.07717,0.00789628,0.00789628,0.00789628
63,5717.31,1.42914,1.11017,1.12423,0.54116,0.42564,0.44818,0.272,1.30904,0.97963,1.07631,0.00783231,0.00783231,0.00783231
64,5807.62,1.43852,1.11486,1.1297,0.53475,0.434,0.45013,0.27429,1.30738,0.97622,1.07366,0.00776766,0.00776766,0.00776766
65,5895.95,1.43507,1.10717,1.12989,0.54582,0.43315,0.45178,0.27467,1.30628,0.97514,1.07389,0.00770234,0.00770234,0.00770234
66,5985.6,1.42823,1.09785,1.13226,0.54171,0.43593,0.45302,0.27521,1.30551,0.97363,1.07271,0.00763637,0.00763637,0.00763637
67,6075.08,1.42699,1.09683,1.12399,0.54032,0.43029,0.45117,0.27474,1.30661,0.97185,1.0729,0.00756976,0.00756976,0.00756976
