epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1141.39,2.56433,1.88494,1.34891,0.38914,0.30729,0.24005,0.07045,2.49193,1.86061,1.42664,0.00789628,0.00789628,0.00789628
63,1159.34,2.54407,1.84319,1.33634,0.41874,0.29661,0.25396,0.07608,2.46484,1.78793,1.41669,0.00783231,0.00783231,0.00783231
64,1177.31,2.57563,1.86242,1.32105,0.36151,0.29099,0.2214,0.06604,2.51389,1.83268,1.42158,0.00776766,0.00776766,0.00776766
65,1195.28,2.52562,1.85037,1.33853,0.40931,0.3023,0.2517,0.07539,2.43229,1.754,1.38854,0.00770234,0.00770234,0.00770234
66,1213.23,2.58413,1.92781,1.33718,0.40513,0.29798,0.25965,0.07646,2.48396,1.78913,1.40764,0.00763637,0.00763637,0.00763637
67,1231.59,2.59427,1.86697,1.3364,0.40272,0.31001,0.25625,0.07353,2.48831,1.79287,1.39975,0.00756976,0.00756976,0.00756976
68,1249.55,2.55154,1.85919,1.31615,0.41442,0.29459,0.24992,0.0766,2.45586,1.77883,1.39754,0.00750252,0.00750252,0.00750252
69,1268.1,2.53329,1.83391,1.32444,0.39445,0.30323,0.25255,0.07714,2.46682,1.77697,1.40649,0.00743468,0.00743468,0.00743468
70,1286.43,2.51035,1.78823,1.30733,0.43756,0.31466,0.27209,0.08112,2.43766,1.71399,1.38931,0.00736625,0.00736625,0.00736625
71,1304.5,2.50137,1.77591,1.29283,0.42457,0.29615,0.25546,0.07824,2.42336,1.77411,1.38846,0.00729725,0.00729725,0.00729725
72,1322.62,2.51913,1.81692,1.29549,0.41187,0.30089,0.2566,0.07856,2.46304,1.77812,1.38915,0.0072277,0.0072277,0.0072277
73,1340.98,2.54843,1.83094,1.31792,0.40776,0.3178,0.26617,0.08024,2.43681,1.73265,1.38712,0.00715761,0.00715761,0.00715761
74,1358.89,2.50791,1.82058,1.32063,0.43251,0.30804,0.27032,0.08337,2.42004,1.73637,1.38317,0.007087,0.007087,0.007087
75,1377.04,2.54813,1.83225,1.30805,0.44377,0.32739,0.28063,0.0827,2.41567,1.78562,1.36969,0.00701588,0.00701588,0.00701588
76,1395.12,2.49333,1.77461,1.29848,0.43633,0.32153,0.28109,0.08386,2.3812,1.72672,1.35927,0.00694428,0.00694428,0.00694428
77,1413.77,2.46368,1.74853,1.31453,0.44022,0.32797,0.28659,0.08652,2.41671,1.67405,1.37583,0.00687222,0.00687222,0.00687222
78,1432.64,2.527,1.76587,1.29841,0.41107,0.31458,0.26613,0.08119,2.45916,1.77015,1.38832,0.0067997,0.0067997,0.0067997
