epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,16712.2,2.06562,1.29305,1.08022,0.62795,0.38016,0.41369,0.18537,1.91051,1.2009,1.05954,0.00628101,0.00628101,0.00628101
86,16975.4,2.05115,1.28315,1.07905,0.62632,0.38103,0.41432,0.18592,1.90972,1.19954,1.05927,0.00620555,0.00620555,0.00620555
87,17157.8,2.06809,1.28333,1.08213,0.6289,0.38317,0.41575,0.18646,1.9092,1.19833,1.059,0.00612981,0.00612981,0.00612981
88,17340.2,2.05,1.26252,1.07551,0.63512,0.38119,0.41617,0.18688,1.90864,1.19748,1.05879,0.0060538,0.0060538,0.0060538
89,17522.8,2.04119,1.28321,1.07202,0.63495,0.38135,0.41719,0.18705,1.90834,1.19662,1.05864,0.00597754,0.00597754,0.00597754
90,17704.3,2.05343,1.28066,1.07602,0.63856,0.38068,0.41866,0.18711,1.90793,1.19587,1.0584,0.00590105,0.00590105,0.00590105
91,17888.2,2.0459,1.25708,1.0742,0.63797,0.38111,0.42007,0.18755,1.90722,1.195,1.05812,0.00582435,0.00582435,0.00582435
92,18071.7,2.05485,1.25884,1.07945,0.63682,0.38307,0.42405,0.1881,1.90673,1.19411,1.05785,0.00574746,0.00574746,0.00574746
93,18255.9,2.05488,1.26297,1.07612,0.63413,0.38471,0.42457,0.1884,1.90624,1.19306,1.05765,0.0056704,0.0056704,0.0056704
94,18439.1,2.04048,1.24862,1.07445,0.6327,0.38428,0.42544,0.18899,1.90569,1.19194,1.05741,0.00559318,0.00559318,0.00559318
95,18623,2.05096,1.24478,1.06999,0.63398,0.38517,0.42607,0.1897,1.90515,1.19107,1.05727,0.00551584,0.00551584,0.00551584
96,18807,2.04249,1.26152,1.07474,0.63497,0.38411,0.42529,0.19001,1.90451,1.18998,1.05712,0.00543837,0.00543837,0.00543837
97,18988.7,2.03778,1.24538,1.0653,0.6218,0.39107,0.42716,0.19059,1.90398,1.18909,1.05683,0.00536081,0.00536081,0.00536081
98,19171.6,2.04512,1.25357,1.07521,0.62349,0.39079,0.42818,0.19126,1.90352,1.18802,1.05656,0.00528318,0.00528318,0.00528318
99,19354.4,2.03114,1.25439,1.06953,0.62508,0.39077,0.42909,0.19185,1.90299,1.18702,1.05638,0.00520548,0.00520548,0.00520548
100,19536.3,2.03549,1.22656,1.0648,0.62522,0.39082,0.4295,0.19207,1.90252,1.18591,1.05621,0.00512775,0.00512775,0.00512775
101,19720.2,2.04571,1.24954,1.06886,0.62274,0.39251,0.43011,0.1923,1.90211,1.18487,1.05602,0.00505,0.00505,0.00505
102,19902,2.03085,1.24782,1.07416,0.62331,0.39264,0.43088,0.19314,1.9015,1.18373,1.05586,0.00497225,0.00497225,0.00497225
103,20086.1,2.0184,1.23103,1.06466,0.62443,0.39374,0.43123,0.19342,1.9011,1.18275,1.0557,0.00489452,0.00489452,0.00489452
104,20269,2.03639,1.23986,1.06544,0.63056,0.39173,0.43203,0.19402,1.90066,1.18162,1.05552,0.00481682,0.00481682,0.00481682
105,20452.3,2.01704,1.22443,1.06614,0.63267,0.39157,0.43227,0.19426,1.90022,1.18061,1.05531,0.00473919,0.00473919,0.00473919
106,20634.8,2.0334,1.25311,1.07263,0.63069,0.39269,0.43369,0.19458,1.89981,1.17941,1.05517,0.00466163,0.00466163,0.00466163
107,20816.8,2.03347,1.23329,1.067,0.62392,0.39552,0.43535,0.19547,1.89942,1.17836,1.05501,0.00458416,0.00458416,0.00458416
108,20999.5,2.0389,1.22823,1.06661,0.62817,0.39507,0.43627,0.19589,1.89889,1.17722,1.05481,0.00450682,0.00450682,0.00450682
109,21182.5,2.01584,1.23288,1.06759,0.635,0.39315,0.43711,0.19612,1.89845,1.17612,1.05459,0.0044296,0.0044296,0.0044296
110,21366.5,2.01965,1.21084,1.05888,0.63439,0.39341,0.43832,0.19679,1.89795,1.17498,1.05441,0.00435254,0.00435254,0.00435254
111,21549.1,2.01059,1.21213,1.06371,0.63252,0.39433,0.43882,0.1971,1.89755,1.17385,1.05422,0.00427565,0.00427565,0.00427565
112,21733.3,2.00609,1.21211,1.06975,0.63279,0.39437,0.43908,0.19734,1.89715,1.17257,1.05403,0.00419895,0.00419895,0.00419895
113,21914.3,2.03967,1.24076,1.07096,0.63506,0.39424,0.43961,0.19783,1.89659,1.17135,1.05387,0.00412246,0.00412246,0.00412246
114,22099.5,2.00118,1.20013,1.06009,0.6356,0.39389,0.44042,0.19819,1.89611,1.17026,1.05372,0.0040462,0.0040462,0.0040462
115,22281.8,2.0202,1.23315,1.06768,0.63582,0.39328,0.44068,0.19823,1.89565,1.16906,1.05357,0.00397019,0.00397019,0.00397019
116,22464.9,2.02291,1.2239,1.06169,0.63567,0.39372,0.44168,0.19858,1.89529,1.16802,1.05343,0.00389445,0.00389445,0.00389445
